Timestamp(ms E-10)	acc_X	acc_Y	acc_Z	
4187560	-0.68448	0.12635	9.78609
4187570	-0.662435	0.134578	9.73477
4187580	-0.6226	0.148222	9.70818
4187590	-0.593928	0.176879	9.70915
4187600	-0.589423	0.196078	9.71369
4187610	-0.598968	0.157927	9.71409
4187620	-0.587273	0.142668	9.67706
4187630	-0.54082	0.195807	9.70226
4187640	-0.537115	0.224905	9.7208
4187650	-0.532318	0.186782	9.72205
4187660	-0.550638	0.176844	9.70693
4187670	-0.598711	0.181636	9.70874
4187680	-0.57268	0.159083	9.75849
4187690	-0.561533	0.186969	9.72985
4187700	-0.610941	0.201905	9.75515
4187710	-0.59502	0.222477	9.81274
4187720	-0.569268	0.255034	9.78008
4187730	-0.57563	0.239249	9.72293
4187740	-0.592358	0.216488	9.7654
4187750	-0.595281	0.2083	9.81785
4187760	-0.598209	0.236033	9.78362
4187770	-0.58733	0.264041	9.75973
4187780	-0.582804	0.235573	9.76548
4187790	-0.592894	0.226266	9.77465
4187800	-0.576708	0.25148	9.82737
4187810	-0.572189	0.242079	9.83264
4187820	-0.590506	0.222609	9.81776
4187830	-0.595026	0.236776	9.81238
4187840	-0.559434	0.235867	9.77638
4187850	-0.579085	0.231305	9.78487
4187860	-0.587317	0.230675	9.76058
4187870	-0.55864	0.266656	9.6756
4187880	-0.531021	0.267202	9.69627
4187890	-0.569248	0.224226	9.6951
4187900	-0.612799	0.210084	9.70243
4187910	-0.596613	0.2353	9.75515
4187920	-0.628754	0.253687	9.72897
4187930	-0.638048	0.253546	9.72366
4187940	-0.649752	0.287869	9.76021
4187950	-0.646039	0.297901	9.77923
4187960	-0.617079	0.269238	9.7769
4187970	-0.563142	0.216302	9.7576
4187980	-0.537911	0.220505	9.73516
4187990	-0.561038	0.277289	9.71806
4188000	-0.564219	0.267013	9.68955
4188010	-0.541107	0.248361	9.70568
4188020	-0.499941	0.23977	9.74167
4188030	-0.496222	0.230736	9.76118
4188040	-0.552794	0.244553	9.7432
4188050	-0.625841	0.268852	9.7621
4188060	-0.610177	0.265713	9.82504
4188070	-0.535286	0.288223	9.77171
4188080	-0.469413	0.281872	9.70905
4188090	-0.428506	0.254336	9.75027
4188100	-0.452142	0.232544	9.83043
4188110	-0.472592	0.22835	9.85315
4188120	-0.49702	0.231102	9.77541
4188130	-0.520386	0.221277	9.76476
4188140	-0.512956	0.22704	9.80316
4188150	-0.541901	0.217571	9.80646
4188160	-0.527822	0.208191	9.81229
4188170	-0.519054	0.199043	9.82733
4188180	-0.548532	0.189817	9.84013
4188190	-0.554389	0.218897	9.8581
4188200	-0.5451	0.233337	9.86304
4188210	-0.553329	0.232707	9.83875
4188220	-0.585732	0.241684	9.81756
4188230	-0.568193	0.209091	9.84801
4188240	-0.538968	0.18507	9.84081
4188250	-0.551183	0.18883	9.80188
4188260	-0.571371	0.194047	9.81962
4188270	-0.559672	0.169257	9.78282
4188280	-0.564182	0.159593	9.77804
4188290	-0.567925	0.204203	9.84338
4188300	-0.555174	0.207521	9.78688
4188310	-0.53127	0.202803	9.78841
4188320	-0.497552	0.209723	9.87121
4188330	-0.533128	0.194124	9.82187
4188340	-0.573755	0.188171	9.77675
4188350	-0.550123	0.197876	9.78266
4188360	-0.552497	0.168166	9.74039
4188370	-0.575599	0.162985	9.72487
4188380	-0.576667	0.173006	9.74361
4188390	-0.571342	0.139406	9.73525
4188400	-0.533637	0.158793	9.7465
4188410	-0.517963	0.153446	9.72374
4188420	-0.555413	0.162535	9.70701
4188430	-0.580919	0.182285	9.7336
4188440	-0.589405	0.153179	9.71478
4188450	-0.566561	0.139416	9.73553
4188460	-0.555934	0.13418	9.71723
4188470	-0.546369	0.124666	9.71804
4188480	-0.531239	0.148161	9.70404
4188490	-0.569228	0.17656	9.69631
4188500	-0.570029	0.164837	9.79661
4188510	-0.535782	0.197905	9.7835
4188520	-0.537385	0.23456	9.7253
4188530	-0.583334	0.231051	9.77509
4188540	-0.604305	0.198503	9.80803
4188550	-0.590755	0.184598	9.82348
4188560	-0.55544	0.207644	9.79162
4188570	-0.567126	0.220691	9.74296
4188580	-0.610143	0.201538	9.74091
4188590	-0.60217	0.183225	9.77043
4188600	-0.616533	0.214005	9.85456
4188610	-0.621329	0.252127	9.85331
4188620	-0.602464	0.250079	9.77349
4188630	-0.606977	0.245179	9.76858
4188640	-0.621052	0.245028	9.76299
4188650	-0.596079	0.230289	9.74578
4188660	-0.561545	0.215569	9.72913
4188670	-0.549598	0.233554	9.6865
4188680	-0.537113	0.220139	9.72092
4188690	-0.56393	0.192835	9.77244
4188700	-0.568189	0.216413	9.76206
4188710	-0.53235	0.263047	9.72011
4188720	-0.545359	0.257641	9.69566
4188730	-0.53367	0.239824	9.74445
4188740	-0.535797	0.236036	9.78253
4188750	-0.56103	0.236599	9.80485
4188760	-0.582809	0.249872	9.76512
4188770	-0.601925	0.252391	9.67817
4188780	-0.580153	0.258184	9.71742
4188790	-0.549084	0.259352	9.7621
4188800	-0.567936	0.249657	9.75647
4188810	-0.575366	0.22227	9.80437
4188820	-0.576436	0.237059	9.82299
4188830	-0.579369	0.274326	9.78852
4188840	-0.541121	0.264871	9.79101
4188850	-0.524112	0.244611	9.74489
4188860	-0.530493	0.276491	9.68653
4188870	-0.546693	0.267785	9.71915
4188880	-0.545355	0.226484	9.78221
4188890	-0.541116	0.25057	9.79138
4188900	-0.555991	0.255552	9.7999
4188910	-0.578023	0.235582	9.76576
4188920	-0.562344	0.215935	9.74336
4188930	-0.54748	0.239552	9.73411
4188940	-0.557317	0.263488	9.73769
4188950	-0.572981	0.245003	9.76106
4188960	-0.583338	0.240584	9.77485
4188970	-0.566337	0.222535	9.81442
4188980	-0.572446	0.218369	9.83799
4188990	-0.593964	0.241054	9.79327
4189000	-0.572977	0.23547	9.7613
4189010	-0.54137	0.222094	9.79685
4189020	-0.590508	0.227375	9.81764
4189030	-0.607518	0.247634	9.86377
4189040	-0.546957	0.241517	9.81032
4189050	-0.544817	0.21194	9.77308
4189060	-0.568194	0.230713	9.7617
4189070	-0.56765	0.218726	9.66675
4189080	-0.565794	0.215314	9.71935
4189090	-0.553574	0.197255	9.75865
4189100	-0.560476	0.183923	9.79669
4189110	-0.556236	0.203243	9.80598
4189120	-0.555978	0.222187	9.80075
4189130	-0.584659	0.217362	9.79918
4189140	-0.548788	0.187731	9.75917
4189150	-0.537381	0.225027	9.72555
4189160	-0.557581	0.258843	9.74256
4189170	-0.569532	0.25039	9.78494
4189180	-0.589699	0.220033	9.71783
4189190	-0.604292	0.186759	9.72258
4189200	-0.603765	0.196049	9.71284
4189210	-0.569507	0.205282	9.70033
4189220	-0.56287	0.20188	9.75322
4189230	-0.561533	0.186969	9.72985
4189240	-0.556492	0.19639	9.72515
4189250	-0.563406	0.211658	9.76247
4189260	-0.551175	0.169765	9.80236
4189270	-0.566317	0.17487	9.81564
4189280	-0.558624	0.206901	9.76287
4189290	-0.573223	0.187926	9.76725
4189300	-0.578281	0.195015	9.8573
4189310	-0.553579	0.194697	9.84447
4189320	-0.535769	0.169305	9.78423
4189330	-0.554627	0.173911	9.77823
4189340	-0.550917	0.188708	9.79713
4189350	-0.535518	0.202549	9.77863
4189360	-0.567121	0.206391	9.74332
4189370	-0.542429	0.208283	9.81619
4189380	-0.510036	0.223139	9.83678
4189390	-0.522773	0.203311	9.80795
4189400	-0.545071	0.183463	9.77855
4189410	-0.548524	0.192375	9.7543
4189420	-0.557298	0.215822	9.7389
4189430	-0.590493	0.210866	9.73231
4189440	-0.575886	0.193915	9.81459
4189450	-0.545335	0.178819	9.78342
4189460	-0.530992	0.174081	9.78439
4189470	-0.550407	0.219273	9.87262
4189480	-0.544027	0.213783	9.84455
4189490	-0.522764	0.184244	9.80843
4189500	-0.503642	0.184282	9.80956
4189510	-0.477624	0.211953	9.77228
4189520	-0.505508	0.211529	9.75635
4189530	-0.498076	0.212525	9.79488
4189540	-0.468869	0.231405	9.78659
4189550	-0.466207	0.225416	9.73926
4189560	-0.460097	0.229581	9.71569
4189570	-0.480818	0.235043	9.74292
4189580	-0.48666	0.230756	9.76174
4189590	-0.491979	0.245289	9.77059
4189600	-0.552796	0.249319	9.74308
4189610	-0.56926	0.252825	9.69438
4189620	-0.549088	0.268885	9.76186
4189630	-0.556778	0.227321	9.81487
4189640	-0.593148	0.197789	9.78012
4189650	-0.604565	0.201181	9.72696
4189660	-0.588636	0.22431	9.69873
4189670	-0.60592	0.263758	9.74911
4189680	-0.601677	0.278312	9.75852
4189690	-0.566083	0.272635	9.72265
4189700	-0.576427	0.234849	9.73729
4189710	-0.613595	0.188827	9.80297
4189720	-0.624745	0.170475	9.83136
4189730	-0.61997	0.201642	9.7451
4189740	-0.605905	0.247248	9.66378
4189750	-0.575362	0.234361	9.71831
4189760	-0.58093	0.206119	9.73299
4189770	-0.605104	0.220491	9.73597
4189780	-0.60935	0.215471	9.72631
4189790	-0.599793	0.225024	9.72664
4189800	-0.590776	0.253886	9.73596
4189810	-0.58945	0.26281	9.71199
4189820	-0.567134	0.239757	9.74248
4189830	-0.571385	0.227413	9.81877
4189840	-0.596351	0.223087	9.83646
4189850	-0.618112	0.21032	9.71164
4189860	-0.596327	0.20437	9.66543
4189870	-0.541618	0.196175	9.7165
4189880	-0.557822	0.197001	9.74887
4189890	-0.564208	0.221558	9.77646
4189900	-0.556234	0.198477	9.8061
4189910	-0.55781	0.168402	9.7496
4189920	-0.523304	0.220412	9.73126
4189930	-0.53976	0.187994	9.76922
4189940	-0.569501	0.174126	9.78688
4189950	-0.568181	0.197348	9.76255
4189960	-0.54665	0.162921	9.72181
4189970	-0.520634	0.1785	9.77059
4189980	-0.540568	0.212194	9.78286
4189990	-0.565535	0.212635	9.80043
4190000	-0.562599	0.192225	9.74871
4190010	-0.536823	0.162818	9.71763
4190020	-0.563122	0.168636	9.75881
4190030	-0.582518	0.187785	9.76195
4190040	-0.601904	0.183103	9.76569
4190050	-0.571887	0.173016	9.74389
4190060	-0.515597	0.202221	9.76552
4190070	-0.529406	0.197181	9.75531
4190080	-0.522232	0.184	9.79894
4190090	-0.527823	0.212957	9.81217
4190100	-0.538215	0.294334	9.82379
4190110	-0.461439	0.258792	9.73869
4190120	-0.491153	0.195048	9.67186
4190130	-0.558352	0.192478	9.75849
4190140	-0.550653	0.193353	9.79227
4190150	-0.538715	0.235171	9.74903
4190160	-0.538963	0.192394	9.75487
4190170	-0.543473	0.161106	9.83639
4190180	-0.549314	0.173676	9.76902
4190190	-0.523298	0.206113	9.73162
4190200	-0.49966	0.201516	9.73789
4190210	-0.563403	0.185267	9.84889
4190220	-0.562873	0.189789	9.83928
4190230	-0.521975	0.202945	9.79371
4190240	-0.551455	0.203253	9.80626
4190250	-0.544549	0.207051	9.76846
4190260	-0.54268	0.191895	9.7356
4190270	-0.536314	0.198149	9.79299
4190280	-0.524105	0.208689	9.83156
4190290	-0.531536	0.202925	9.79315
4190300	-0.560236	0.245766	9.79037
4190310	-0.570861	0.246235	9.80879
4190320	-0.544031	0.223316	9.8443
4190330	-0.554378	0.211921	9.77252
4190340	-0.558094	0.211423	9.75326
4190350	-0.578013	0.21175	9.76637
4190360	-0.588647	0.231286	9.7843
4190370	-0.55041	0.250429	9.78607
4190380	-0.567928	0.230591	9.75696
4190390	-0.601916	0.211702	9.76496
4190400	-0.578019	0.226049	9.76601
4190410	-0.549342	0.240407	9.76733
4190420	-0.524378	0.244734	9.74963
4190430	-0.520123	0.230688	9.75977
4190440	-0.528894	0.249367	9.74449
4190450	-0.543772	0.259117	9.75289
4190460	-0.56793	0.235357	9.75683
4190470	-0.56023	0.231466	9.79074
4190480	-0.555985	0.241253	9.80027
4190490	-0.5666	0.234746	9.73311
4190500	-0.543749	0.201919	9.75434
4190510	-0.544836	0.259605	9.77187
4190520	-0.528104	0.268067	9.72976
4190530	-0.523572	0.225301	9.73588
4190540	-0.551197	0.222197	9.80103
4190550	-0.561813	0.198834	9.82006
4190560	-0.563676	0.221313	9.76697
4190570	-0.571649	0.239625	9.73745
4190580	-0.568995	0.235847	9.77582
4190590	-0.536341	0.26488	9.7913
4190600	-0.548025	0.273162	9.74275
4190610	-0.589189	0.255363	9.79319
4190620	-0.584929	0.227017	9.80369
4190630	-0.581998	0.216141	9.75173
4190640	-0.575632	0.244016	9.72281
4190649	-0.57192	0.254046	9.74183
4190659	-0.555989	0.250786	9.80002
4190669	-0.549884	0.264485	9.77622
4190679	-0.552806	0.273152	9.74247
4190689	-0.561564	0.263234	9.72792
4190699	-0.586248	0.220653	9.74184
4190709	-0.581453	0.187296	9.74297
4190719	-0.585973	0.196698	9.7377
4190729	-0.5836	0.231174	9.77984
4190739	-0.55837	0.235377	9.7574
4190749	-0.567921	0.211525	9.75744
4190759	-0.568457	0.221302	9.76669
4190769	-0.559172	0.245276	9.77139
4190779	-0.550133	0.221708	9.78205
4190789	-0.524364	0.211369	9.75048
4190799	-0.524629	0.206724	9.75535
4190809	-0.528871	0.192168	9.74594
4190819	-0.51985	0.2115	9.75551
4190829	-0.523564	0.206235	9.73637
4190839	-0.533393	0.211103	9.74043
4190849	-0.488303	0.324263	9.87361
4190859	-0.186795	0.191632	9.71846
4190869	0.081233	0.0754452	9.64667
4190879	0.184737	0.226363	9.76328
4190889	-0.384955	0.268479	9.74295
4190899	-1.14027	0.235798	9.78505
4190909	-1.02765	0.198875	9.83074
4190919	-0.736033	0.185163	9.84826
4190929	-0.625026	0.203963	9.83526
4190939	-0.593692	0.226632	9.78889
4190949	-0.612277	0.216816	9.77851
4190959	-0.630319	0.178156	9.75938
4190969	-0.615183	0.187351	9.74574
4190979	-0.55996	0.221811	9.78623
4190989	-0.537384	0.212937	9.81161
4190999	-0.55969	0.212156	9.78173
4191009	-0.551451	0.210577	9.72032
4191019	-0.527279	0.20097	9.71722
4191029	-0.49329	0.198236	9.79552
4191039	-0.489847	0.217923	9.81905
4191049	-0.507116	0.240861	9.7841
4191059	-0.497824	0.245769	9.78929
4191069	-0.486398	0.218543	9.84306
4191079	-0.526484	0.193279	9.78893
4191089	-0.546922	0.177342	9.72619
4191099	-0.530465	0.188135	9.77453
4191109	-0.545081	0.207296	9.77795
4191119	-0.554899	0.188333	9.78262
4191129	-0.565001	0.207624	9.79106
4191139	-0.555706	0.207766	9.79637
4191149	-0.555965	0.193587	9.80148
4191159	-0.568462	0.235601	9.76633
4191169	-0.56713	0.230224	9.74272
4191179	-0.544811	0.19764	9.77345
4191189	-0.542688	0.210962	9.73512
4191199	-0.532589	0.196438	9.72655
4191209	-0.52171	0.207589	9.78885
4191219	-0.541899	0.212805	9.80658
4191229	-0.530474	0.207202	9.77405
4191239	-0.547746	0.239674	9.73886
4191249	-0.570845	0.224959	9.72358
4191259	-0.581739	0.235085	9.7465
4191269	-0.600875	0.268413	9.74453
4191279	-0.59556	0.263411	9.73544
4191289	-0.609358	0.234537	9.72583
4191299	-0.566332	0.229857	9.72848
4191309	-0.543766	0.244817	9.75325
4191319	-0.576162	0.239493	9.73242
4191329	-0.579607	0.224573	9.70878
4191339	-0.571383	0.239503	9.73271
4191349	-0.545368	0.259851	9.78136
4191359	-0.532878	0.232135	9.81615
4191369	-0.558098	0.220956	9.75301
4191379	-0.581202	0.22054	9.73737
4191389	-0.564219	0.250156	9.77573
4191399	-0.558909	0.254687	9.7664
4191409	-0.556244	0.222309	9.8055
4191419	-0.546155	0.231617	9.79633
4191429	-0.549608	0.240529	9.77208
4191439	-0.569795	0.240979	9.78993
4191449	-0.583879	0.264662	9.78374
4191459	-0.529968	0.273689	9.76286
4191469	-0.547757	0.268273	9.73813
4191479	-0.563149	0.235368	9.75712
4191489	-0.530746	0.221624	9.77843
4191499	-0.540046	0.235782	9.77276
4191509	-0.579889	0.245971	9.79874
4191519	-0.603783	0.222091	9.79794
4191529	-0.583594	0.216874	9.7802
4191539	-0.561572	0.260677	9.81374
4191549	-0.537667	0.255958	9.81527
4191559	-0.53951	0.226005	9.76351
4191569	-0.537911	0.220505	9.73516
4191579	-0.54403	0.240172	9.75812
4191589	-0.536857	0.243849	9.71557
4191599	-0.532868	0.229925	9.73045
4191609	-0.527307	0.250844	9.80171
4191619	-0.529949	0.226024	9.76407
4191629	-0.525167	0.221268	9.76447
4191639	-0.502062	0.221683	9.78012
4191649	-0.521174	0.197812	9.7796
4191659	-0.530221	0.240445	9.76846
4191669	-0.492794	0.288555	9.78373
4191679	-0.431435	0.260448	9.80235
4191689	-0.36742	0.245419	9.77315
4191699	-0.270494	0.278366	9.7542
4191709	-0.212602	0.292538	9.74772
4191719	-0.284571	0.282982	9.74849
4191729	-0.484779	0.187001	9.72961
4191739	-0.638779	0.0870838	9.74213
4191749	-0.651539	0.10283	9.79815
4191759	-0.599774	0.160502	9.81403
4191769	-0.487715	0.207413	9.78133
4191779	-0.460094	0.203192	9.80212
4191789	-0.4978	0.18857	9.79074
4191799	-0.499663	0.211049	9.73765
4191809	-0.511348	0.197708	9.77542
4191819	-0.566049	0.169981	9.81101
4191829	-0.636958	0.169469	9.79256
4191839	-0.616247	0.18784	9.76472
4191849	-0.511884	0.207486	9.78466
4191859	-0.464873	0.198416	9.80196
4191869	-0.486102	0.168547	9.75382
4191879	-0.536821	0.158051	9.71775
4191889	-0.570289	0.167517	9.71554
4191899	-0.572683	0.168616	9.75825
4191909	-0.593134	0.164423	9.78097
4191919	-0.628979	0.153712	9.73625
4191929	-0.655008	0.149876	9.77293
4191939	-0.622341	0.145543	9.78926
4191949	-0.571085	0.163116	9.7299
4191959	-0.570825	0.177294	9.72479
4191969	-0.588884	0.181533	9.70456
4191979	-0.595513	0.149014	9.73835
4191989	-0.568963	0.159582	9.77775
4191999	-0.580662	0.20123	9.72837
4192009	-0.615197	0.220717	9.74489
4192019	-0.616529	0.226094	9.7685
4192029	-0.602713	0.207303	9.77932
4192039	-0.569255	0.221669	9.78092
4192049	-0.555969	0.219978	9.71505
4192059	-0.575872	0.182173	9.72913
4192069	-0.588095	0.183376	9.77602
4192079	-0.582784	0.187907	9.76669
4192089	-0.53817	0.201561	9.74039
4192099	-0.521702	0.205379	9.70315
4192109	-0.557806	0.158869	9.74984
4192119	-0.562584	0.154093	9.74968
4192129	-0.566586	0.201381	9.73395
4192139	-0.583076	0.249994	9.76987
4192149	-0.569527	0.236091	9.78531
4192159	-0.567924	0.221058	9.7572
4192169	-0.55836	0.233168	9.6717
4192179	-0.536591	0.243726	9.71083
4192189	-0.56024	0.255299	9.79013
4192199	-0.574317	0.259914	9.78442
4192209	-0.558643	0.254565	9.76166
4192219	-0.550408	0.245663	9.78619
4192229	-0.540846	0.240915	9.78687
4192239	-0.558643	0.254565	9.76166
4192249	-0.557843	0.249433	9.74754
4192259	-0.541375	0.253249	9.7103
4192269	-0.566879	0.268234	9.73701
4192279	-0.574055	0.269325	9.77943
4192289	-0.545368	0.259851	9.78136
4192299	-0.508181	0.241349	9.80308
